business_id,full_address,open,categories,review_count,name,neighborhoods,longitude,state,stars,latitude,type
rncjoVoEFUJGCUoC1JgnUA,"8466 W Peoria Ave
Ste 6
Peoria, AZ 85345",True,"[u'Accountants', u'Professional Services', u'Tax Services', u'Financial Services']",3,Peoria Income Tax Service,[],-112.241596,AZ,5.0,33.581867,business
0FNFSzCFP_rGUoJx8W7tJg,"2149 W Wood Dr
Phoenix, AZ 85029",True,"[u'Sporting Goods', u'Bikes', u'Shopping']",5,Bike Doctor,[],-112.105933,AZ,5.0,33.604054,business
3f_lyB6vFK48ukH6ScvLHg,"1134 N Central Ave
Phoenix, AZ 85004",True,[],4,Valley Permaculture Alliance,[],-112.0739333,AZ,5.0,33.4605258,business
usAsSV36QmUej8--yvN-dg,"845 W Southern Ave
Phoenix, AZ 85041",True,"[u'Food', u'Grocery']",5,Food City,[],-112.0853773,AZ,3.5,33.3922099,business
PzOqRohWw7F7YEPBz6AubA,"6520 W Happy Valley Rd
Ste 101
Glendale Az, AZ 85310",True,"[u'Food', u'Bagels', u'Delis', u'Restaurants']",14,Hot Bagels & Deli,[],-112.200264,AZ,3.5,33.712797,business
gtQzAiy7D-dPU8WzT3jX3Q,"The Americana at Brand
869 Americana Way
Glendale, CA 91210",True,"[u""Women's Clothing"", u'Fashion', u'Shopping']",6,Barney's New York Co-op,[],-112.481632232666,CA,4.5,33.6077660588006,business
FrBCYtCS_jydDjg1KsIgWQ,"1850 W Camelback Rd
Ste 1
Phoenix, AZ 85015",True,"[u'Music & DVDs', u'Books, Mags, Music & Video', u'Vinyl Records', u'Shopping']",21,Zia Record Exchange,[],-112.0987501,AZ,3.5,33.5096582,business
yaXAD-Mv2K2PEZobmqjIYA,"3415 W Northern Ave
Phoenix, AZ 85051",True,"[u'Event Planning & Services', u'Venues & Event Spaces']",4,Reflections Bingo,[],-112.132866,AZ,5.0,33.551903,business
o3ehs4ZEdsizbJyB9_j7uQ,"6938 E 1st St
Scottsdale, AZ 85251",True,"[u'Art Schools', u'Specialty Schools', u'Shopping', u'Jewelry', u'Accessories', u'Fashion', u'Education']",14,Jam,[],-111.9312992,AZ,5.0,33.492195,business
qarobAbxGSHI7ygf1f7a_Q,"891 E Baseline Rd
Suite 102
Gilbert, AZ 85233",True,"[u'Sandwiches', u'Restaurants']",10,Jersey Mike's Subs,[],-111.8120071,AZ,3.5,33.3788385,business
C1xciP65n4t4R1Q4h1zOHw,"8860 E Chaparral Rd
Ste 100
Scottsdale, AZ 85250",True,"[u'Music & DVDs', u'Books, Mags, Music & Video', u'Musical Instruments & Teachers', u'Shopping']",4,Fender Musical Instruments Corporation,[],-111.8887889,AZ,4.5,33.5135194,business
gA5CuBxF-0CnOpGnryWJdQ,"519 W Thomas Rd
Phoenix, AZ 85013",True,"[u'Mexican', u'Restaurants']",5,La Paloma Mexican Food,[],-112.0813612,AZ,4.0,33.480105,business
acaBJcFEKPmmSDIO6c-ZGQ,"2075 N Pebble Creek Pkwy
Goodyear, AZ 85395",True,"[u'Food', u'Grocery']",3,Basha's,[],-112.3920218,AZ,3.0,33.468815,business
JxVGJ9Nly2FFIs_WpJvkug,"14418 N Scottsdale Rd
Suite 181
Scottsdale, AZ 85254",True,"[u'Pizza', u'Restaurants']",55,Sauce,[],-111.926272,AZ,4.0,33.6174589,business
9iLiMm3Z9nepRDu1AhgEoQ,"3535 W Chandler Blvd
Chandler, AZ 85226",True,"[u'Hotels & Travel', u'Event Planning & Services', u'Hotels']",7,Windmill Inns & Suites,[],-111.9032256,AZ,4.5,33.3054266,business
